combination_index,q01,q02,q03,q04,q05,q06,q07,q08,q09,q10,q11,q12,q13,q14,q15,answer_signature,selected_option_ids,top_idol_id,top_idol_name,score,confidence,matched_tags,top_user_tags
2622080,A,A,A,A,C,C,A,A,A,A,C,C,A,A,A,AAAACCAAAACCAAA,visual-01-a|visual-03-a|stage-a|stage-03-a|works-01-c|works-03-c|personality-01-a|personality-03-a|companionship-01-a|companionship-03-a|contrast-01-c|contrast-04-c|spend-01-a|interaction-a|interaction-05-a,檀健次,檀健次,72,65,温柔|舞台型|演员型|陪伴型|反差型|饭圈互动型,舞台型|温柔|陪伴型|实力派|搞笑|清冷|综艺型|热血
2884288,A,A,A,A,C,D,A,A,A,A,C,D,A,A,A,AAAACDAAAACDAAA,visual-01-a|visual-03-a|stage-a|stage-03-a|works-01-c|works-03-d|personality-01-a|personality-03-a|companionship-01-a|companionship-03-a|contrast-01-c|contrast-04-d|spend-01-a|interaction-a|interaction-05-a,檀健次,檀健次,72,65,温柔|舞台型|演员型|陪伴型|反差型|饭圈互动型,舞台型|温柔|陪伴型|实力派|搞笑|热血|综艺型|清冷
3146496,A,A,A,A,D,A,A,A,A,A,D,A,A,A,A,AAAADAAAAADAAAA,visual-01-a|visual-03-a|stage-a|stage-03-a|works-01-d|works-03-a|personality-01-a|personality-03-a|companionship-01-a|companionship-03-a|contrast-01-d|contrast-04-a|spend-01-a|interaction-a|interaction-05-a,hanni-范玉欣,Hanni 范玉欣,75,57,实力派|舞台型,舞台型|实力派|温柔|陪伴型|清冷|热血|反差型|安利型
3408704,A,A,A,A,D,B,A,A,A,A,D,B,A,A,A,AAAADBAAAADBAAA,visual-01-a|visual-03-a|stage-a|stage-03-a|works-01-d|works-03-b|personality-01-a|personality-03-a|companionship-01-a|companionship-03-a|contrast-01-d|contrast-04-b|spend-01-a|interaction-a|interaction-05-a,hanni-范玉欣,Hanni 范玉欣,75,57,实力派|舞台型,舞台型|实力派|热血|温柔|陪伴型|清冷|线下应援型|饭圈互动型
3670912,A,A,A,A,D,C,A,A,A,A,D,C,A,A,A,AAAADCAAAADCAAA,visual-01-a|visual-03-a|stage-a|stage-03-a|works-01-d|works-03-c|personality-01-a|personality-03-a|companionship-01-a|companionship-03-a|contrast-01-d|contrast-04-c|spend-01-a|interaction-a|interaction-05-a,hanni-范玉欣,Hanni 范玉欣,74,57,实力派|舞台型,舞台型|实力派|温柔|陪伴型|清冷|热血|线下应援型|饭圈互动型
3933120,A,A,A,A,D,D,A,A,A,A,D,D,A,A,A,AAAADDAAAADDAAA,visual-01-a|visual-03-a|stage-a|stage-03-a|works-01-d|works-03-d|personality-01-a|personality-03-a|companionship-01-a|companionship-03-a|contrast-01-d|contrast-04-d|spend-01-a|interaction-a|interaction-05-a,jungwon-梁祯元,Jungwon 梁祯元,74,59,实力派|养成系|舞台型,舞台型|实力派|温柔|陪伴型|热血|养成系|清冷|线下应援型
4195328,A,A,A,B,A,A,A,A,A,B,A,A,A,A,A,AAABAAAAABAAAAA,visual-01-a|visual-03-a|stage-a|stage-03-b|works-01-a|works-03-a|personality-01-a|personality-03-a|companionship-01-a|companionship-03-b|contrast-01-a|contrast-04-a|spend-01-a|interaction-a|interaction-05-a,檀健次,檀健次,79,70,温柔|舞台型|演员型|陪伴型|反差型|饭圈互动型,舞台型|清冷|热血|反差型|演员型|温柔|陪伴型|实力派
4457536,A,A,A,B,A,B,A,A,A,B,A,B,A,A,A,AAABABAAABABAAA,visual-01-a|visual-03-a|stage-a|stage-03-b|works-01-a|works-03-b|personality-01-a|personality-03-a|companionship-01-a|companionship-03-b|contrast-01-a|contrast-04-b|spend-01-a|interaction-a|interaction-05-a,檀健次,檀健次,77,68,温柔|舞台型|演员型|陪伴型|反差型|饭圈互动型,舞台型|热血|演员型|温柔|陪伴型|清冷|实力派|作品型
4719744,A,A,A,B,A,C,A,A,A,B,A,C,A,A,A,AAABACAAABACAAA,visual-01-a|visual-03-a|stage-a|stage-03-b|works-01-a|works-03-c|personality-01-a|personality-03-a|companionship-01-a|companionship-03-b|contrast-01-a|contrast-04-c|spend-01-a|interaction-a|interaction-05-a,檀健次,檀健次,77,68,温柔|舞台型|演员型|陪伴型|反差型|饭圈互动型,舞台型|热血|清冷|演员型|温柔|陪伴型|实力派|反差型
4981952,A,A,A,B,A,D,A,A,A,B,A,D,A,A,A,AAABADAAABADAAA,visual-01-a|visual-03-a|stage-a|stage-03-b|works-01-a|works-03-d|personality-01-a|personality-03-a|companionship-01-a|companionship-03-b|contrast-01-a|contrast-04-d|spend-01-a|interaction-a|interaction-05-a,檀健次,檀健次,76,68,温柔|舞台型|演员型|陪伴型|反差型|饭圈互动型,舞台型|热血|演员型|温柔|陪伴型|清冷|实力派|反差型
5244160,A,A,A,B,B,A,A,A,A,B,B,A,A,A,A,AAABBAAAABBAAAA,visual-01-a|visual-03-a|stage-a|stage-03-b|works-01-b|works-03-a|personality-01-a|personality-03-a|companionship-01-a|companionship-03-b|contrast-01-b|contrast-04-a|spend-01-a|interaction-a|interaction-05-a,檀健次,檀健次,73,66,温柔|舞台型|演员型|陪伴型|反差型|饭圈互动型,舞台型|清冷|热血|实力派|温柔|陪伴型|反差型|安利型
5506368,A,A,A,B,B,B,A,A,A,B,B,B,A,A,A,AAABBBAAABBBAAA,visual-01-a|visual-03-a|stage-a|stage-03-b|works-01-b|works-03-b|personality-01-a|personality-03-a|companionship-01-a|companionship-03-b|contrast-01-b|contrast-04-b|spend-01-a|interaction-a|interaction-05-a,檀健次,檀健次,73,66,温柔|舞台型|演员型|陪伴型|反差型|饭圈互动型,舞台型|热血|清冷|实力派|温柔|陪伴型|演员型|创作型
5768576,A,A,A,B,B,C,A,A,A,B,B,C,A,A,A,AAABBCAAABBCAAA,visual-01-a|visual-03-a|stage-a|stage-03-b|works-01-b|works-03-c|personality-01-a|personality-03-a|companionship-01-a|companionship-03-b|contrast-01-b|contrast-04-c|spend-01-a|interaction-a|interaction-05-a,檀健次,檀健次,69,63,温柔|舞台型|演员型|陪伴型|反差型|饭圈互动型,舞台型|清冷|热血|实力派|温柔|创作型|陪伴型|线下应援型
6030784,A,A,A,B,B,D,A,A,A,B,B,D,A,A,A,AAABBDAAABBDAAA,visual-01-a|visual-03-a|stage-a|stage-03-b|works-01-b|works-03-d|personality-01-a|personality-03-a|companionship-01-a|companionship-03-b|contrast-01-b|contrast-04-d|spend-01-a|interaction-a|interaction-05-a,檀健次,檀健次,70,63,温柔|舞台型|演员型|陪伴型|反差型|饭圈互动型,舞台型|热血|清冷|实力派|温柔|陪伴型|创作型|线下应援型
6292992,A,A,A,B,C,A,A,A,A,B,C,A,A,A,A,AAABCAAAABCAAAA,visual-01-a|visual-03-a|stage-a|stage-03-b|works-01-c|works-03-a|personality-01-a|personality-03-a|companionship-01-a|companionship-03-b|contrast-01-c|contrast-04-a|spend-01-a|interaction-a|interaction-05-a,檀健次,檀健次,75,67,温柔|舞台型|演员型|陪伴型|反差型|饭圈互动型,舞台型|清冷|热血|温柔|陪伴型|反差型|实力派|安利型
6555200,A,A,A,B,C,B,A,A,A,B,C,B,A,A,A,AAABCBAAABCBAAA,visual-01-a|visual-03-a|stage-a|stage-03-b|works-01-c|works-03-b|personality-01-a|personality-03-a|companionship-01-a|companionship-03-b|contrast-01-c|contrast-04-b|spend-01-a|interaction-a|interaction-05-a,檀健次,檀健次,74,66,温柔|舞台型|演员型|陪伴型|反差型|饭圈互动型,舞台型|热血|演员型|温柔|陪伴型|清冷|实力派|搞笑
6817408,A,A,A,B,C,C,A,A,A,B,C,C,A,A,A,AAABCCAAABCCAAA,visual-01-a|visual-03-a|stage-a|stage-03-b|works-01-c|works-03-c|personality-01-a|personality-03-a|companionship-01-a|companionship-03-b|contrast-01-c|contrast-04-c|spend-01-a|interaction-a|interaction-05-a,檀健次,檀健次,71,64,温柔|舞台型|演员型|陪伴型|反差型|饭圈互动型,舞台型|热血|搞笑|清冷|温柔|陪伴型|实力派|综艺型
7079616,A,A,A,B,C,D,A,A,A,B,C,D,A,A,A,AAABCDAAABCDAAA,visual-01-a|visual-03-a|stage-a|stage-03-b|works-01-c|works-03-d|personality-01-a|personality-03-a|companionship-01-a|companionship-03-b|contrast-01-c|contrast-04-d|spend-01-a|interaction-a|interaction-05-a,檀健次,檀健次,70,63,温柔|舞台型|演员型|陪伴型|反差型|饭圈互动型,舞台型|热血|搞笑|综艺型|温柔|陪伴型|清冷|实力派
7341824,A,A,A,B,D,A,A,A,A,B,D,A,A,A,A,AAABDAAAABDAAAA,visual-01-a|visual-03-a|stage-a|stage-03-b|works-01-d|works-03-a|personality-01-a|personality-03-a|companionship-01-a|companionship-03-b|contrast-01-d|contrast-04-a|spend-01-a|interaction-a|interaction-05-a,檀健次,檀健次,73,66,温柔|舞台型|演员型|陪伴型|反差型|饭圈互动型,舞台型|热血|清冷|实力派|温柔|陪伴型|反差型|安利型
7604032,A,A,A,B,D,B,A,A,A,B,D,B,A,A,A,AAABDBAAABDBAAA,visual-01-a|visual-03-a|stage-a|stage-03-b|works-01-d|works-03-b|personality-01-a|personality-03-a|companionship-01-a|companionship-03-b|contrast-01-d|contrast-04-b|spend-01-a|interaction-a|interaction-05-a,刘耀文,刘耀文,73,58,热血|养成系|舞台型,舞台型|热血|实力派|温柔|陪伴型|清冷|演员型|线下应援型
7866240,A,A,A,B,D,C,A,A,A,B,D,C,A,A,A,AAABDCAAABDCAAA,visual-01-a|visual-03-a|stage-a|stage-03-b|works-01-d|works-03-c|personality-01-a|personality-03-a|companionship-01-a|companionship-03-b|contrast-01-d|contrast-04-c|spend-01-a|interaction-a|interaction-05-a,hanni-范玉欣,Hanni 范玉欣,72,55,实力派|舞台型,舞台型|热血|清冷|实力派|温柔|陪伴型|线下应援型|饭圈互动型
8128448,A,A,A,B,D,D,A,A,A,B,D,D,A,A,A,AAABDDAAABDDAAA,visual-01-a|visual-03-a|stage-a|stage-03-b|works-01-d|works-03-d|personality-01-a|personality-03-a|companionship-01-a|companionship-03-b|contrast-01-d|contrast-04-d|spend-01-a|interaction-a|interaction-05-a,刘耀文,刘耀文,77,61,热血|养成系|舞台型,舞台型|热血|实力派|养成系|温柔|陪伴型|清冷|线下应援型
8390656,A,A,A,C,A,A,A,A,A,C,A,A,A,A,A,AAACAAAAACAAAAA,visual-01-a|visual-03-a|stage-a|stage-03-c|works-01-a|works-03-a|personality-01-a|personality-03-a|companionship-01-a|companionship-03-c|contrast-01-a|contrast-04-a|spend-01-a|interaction-a|interaction-05-a,檀健次,檀健次,78,69,温柔|舞台型|演员型|陪伴型|反差型|饭圈互动型,舞台型|清冷|陪伴型|反差型|温柔|高级感|实力派|安利型
8652864,A,A,A,C,A,B,A,A,A,C,A,B,A,A,A,AAACABAAACABAAA,visual-01-a|visual-03-a|stage-a|stage-03-c|works-01-a|works-03-b|personality-01-a|personality-03-a|companionship-01-a|companionship-03-c|contrast-01-a|contrast-04-b|spend-01-a|interaction-a|interaction-05-a,檀健次,檀健次,78,69,温柔|舞台型|演员型|陪伴型|反差型|饭圈互动型,舞台型|热血|陪伴型|演员型|温柔|清冷|高级感|实力派
8915072,A,A,A,C,A,C,A,A,A,C,A,C,A,A,A,AAACACAAACACAAA,visual-01-a|visual-03-a|stage-a|stage-03-c|works-01-a|works-03-c|personality-01-a|personality-03-a|companionship-01-a|companionship-03-c|contrast-01-a|contrast-04-c|spend-01-a|interaction-a|interaction-05-a,檀健次,檀健次,74,66,温柔|舞台型|演员型|陪伴型|反差型|饭圈互动型,舞台型|陪伴型|清冷|温柔|高级感|实力派|搞笑|热血
9177280,A,A,A,C,A,D,A,A,A,C,A,D,A,A,A,AAACADAAACADAAA,visual-01-a|visual-03-a|stage-a|stage-03-c|works-01-a|works-03-d|personality-01-a|personality-03-a|companionship-01-a|companionship-03-c|contrast-01-a|contrast-04-d|spend-01-a|interaction-a|interaction-05-a,檀健次,檀健次,74,66,温柔|舞台型|演员型|陪伴型|反差型|饭圈互动型,舞台型|陪伴型|热血|温柔|清冷|高级感|实力派|搞笑
9439488,A,A,A,C,B,A,A,A,A,C,B,A,A,A,A,AAACBAAAACBAAAA,visual-01-a|visual-03-a|stage-a|stage-03-c|works-01-b|works-03-a|personality-01-a|personality-03-a|companionship-01-a|companionship-03-c|contrast-01-b|contrast-04-a|spend-01-a|interaction-a|interaction-05-a,winter-金旼炡,Winter 金旼炡,68,57,清冷|实力派|舞台型|反差型,舞台型|清冷|实力派|陪伴型|温柔|反差型|高级感|安利型
9701696,A,A,A,C,B,B,A,A,A,C,B,B,A,A,A,AAACBBAAACBBAAA,visual-01-a|visual-03-a|stage-a|stage-03-c|works-01-b|works-03-b|personality-01-a|personality-03-a|companionship-01-a|companionship-03-c|contrast-01-b|contrast-04-b|spend-01-a|interaction-a|interaction-05-a,檀健次,檀健次,72,65,温柔|舞台型|演员型|陪伴型|反差型|饭圈互动型,舞台型|清冷|热血|实力派|陪伴型|温柔|高级感|创作型
9963904,A,A,A,C,B,C,A,A,A,C,B,C,A,A,A,AAACBCAAACBCAAA,visual-01-a|visual-03-a|stage-a|stage-03-c|works-01-b|works-03-c|personality-01-a|personality-03-a|companionship-01-a|companionship-03-c|contrast-01-b|contrast-04-c|spend-01-a|interaction-a|interaction-05-a,haerin-姜海粼,Haerin 姜海粼,65,53,清冷|舞台型|佛系,清冷|舞台型|实力派|陪伴型|温柔|创作型|高级感|搞笑
10226112,A,A,A,C,B,D,A,A,A,C,B,D,A,A,A,AAACBDAAACBDAAA,visual-01-a|visual-03-a|stage-a|stage-03-c|works-01-b|works-03-d|personality-01-a|personality-03-a|companionship-01-a|companionship-03-c|contrast-01-b|contrast-04-d|spend-01-a|interaction-a|interaction-05-a,檀健次,檀健次,63,56,温柔|舞台型|陪伴型|反差型|饭圈互动型,舞台型|清冷|实力派|陪伴型|温柔|热血|高级感|搞笑
10488320,A,A,A,C,C,A,A,A,A,C,C,A,A,A,A,AAACCAAAACCAAAA,visual-01-a|visual-03-a|stage-a|stage-03-c|works-01-c|works-03-a|personality-01-a|personality-03-a|companionship-01-a|companionship-03-c|contrast-01-c|contrast-04-a|spend-01-a|interaction-a|interaction-05-a,檀健次,檀健次,73,66,温柔|舞台型|演员型|陪伴型|反差型|饭圈互动型,舞台型|清冷|陪伴型|搞笑|温柔|反差型|高级感|实力派
10750528,A,A,A,C,C,B,A,A,A,C,C,B,A,A,A,AAACCBAAACCBAAA,visual-01-a|visual-03-a|stage-a|stage-03-c|works-01-c|works-03-b|personality-01-a|personality-03-a|companionship-01-a|companionship-03-c|contrast-01-c|contrast-04-b|spend-01-a|interaction-a|interaction-05-a,檀健次,檀健次,73,66,温柔|舞台型|演员型|陪伴型|反差型|饭圈互动型,舞台型|热血|陪伴型|搞笑|温柔|清冷|高级感|实力派
11012736,A,A,A,C,C,C,A,A,A,C,C,C,A,A,A,AAACCCAAACCCAAA,visual-01-a|visual-03-a|stage-a|stage-03-c|works-01-c|works-03-c|personality-01-a|personality-03-a|companionship-01-a|companionship-03-c|contrast-01-c|contrast-04-c|spend-01-a|interaction-a|interaction-05-a,jin-金硕珍,Jin 金硕珍,70,59,温柔|搞笑|实力派|综艺型,搞笑|舞台型|陪伴型|清冷|温柔|高级感|实力派|综艺型
11274944,A,A,A,C,C,D,A,A,A,C,C,D,A,A,A,AAACCDAAACCDAAA,visual-01-a|visual-03-a|stage-a|stage-03-c|works-01-c|works-03-d|personality-01-a|personality-03-a|companionship-01-a|companionship-03-c|contrast-01-c|contrast-04-d|spend-01-a|interaction-a|interaction-05-a,jin-金硕珍,Jin 金硕珍,70,59,温柔|搞笑|实力派|综艺型,舞台型|搞笑|陪伴型|热血|综艺型|温柔|清冷|高级感
11537152,A,A,A,C,D,A,A,A,A,C,D,A,A,A,A,AAACDAAAACDAAAA,visual-01-a|visual-03-a|stage-a|stage-03-c|works-01-d|works-03-a|personality-01-a|personality-03-a|companionship-01-a|companionship-03-c|contrast-01-d|contrast-04-a|spend-01-a|interaction-a|interaction-05-a,严浩翔,严浩翔,70,59,实力派|养成系|舞台型|反差型,舞台型|清冷|陪伴型|实力派|热血|温柔|反差型|高级感
11799360,A,A,A,C,D,B,A,A,A,C,D,B,A,A,A,AAACDBAAACDBAAA,visual-01-a|visual-03-a|stage-a|stage-03-c|works-01-d|works-03-b|personality-01-a|personality-03-a|companionship-01-a|companionship-03-c|contrast-01-d|contrast-04-b|spend-01-a|interaction-a|interaction-05-a,檀健次,檀健次,72,65,温柔|舞台型|演员型|陪伴型|反差型|饭圈互动型,舞台型|热血|陪伴型|实力派|温柔|清冷|高级感|线下应援型
12061568,A,A,A,C,D,C,A,A,A,C,D,C,A,A,A,AAACDCAAACDCAAA,visual-01-a|visual-03-a|stage-a|stage-03-c|works-01-d|works-03-c|personality-01-a|personality-03-a|companionship-01-a|companionship-03-c|contrast-01-d|contrast-04-c|spend-01-a|interaction-a|interaction-05-a,hanni-范玉欣,Hanni 范玉欣,67,52,实力派|舞台型,舞台型|陪伴型|清冷|实力派|热血|温柔|高级感|搞笑
12323776,A,A,A,C,D,D,A,A,A,C,D,D,A,A,A,AAACDDAAACDDAAA,visual-01-a|visual-03-a|stage-a|stage-03-c|works-01-d|works-03-d|personality-01-a|personality-03-a|companionship-01-a|companionship-03-c|contrast-01-d|contrast-04-d|spend-01-a|interaction-a|interaction-05-a,刘耀文,刘耀文,70,56,热血|养成系|舞台型,舞台型|热血|陪伴型|实力派|养成系|温柔|清冷|高级感
12585984,A,A,A,D,A,A,A,A,A,D,A,A,A,A,A,AAADAAAAADAAAAA,visual-01-a|visual-03-a|stage-a|stage-03-d|works-01-a|works-03-a|personality-01-a|personality-03-a|companionship-01-a|companionship-03-d|contrast-01-a|contrast-04-a|spend-01-a|interaction-a|interaction-05-a,檀健次,檀健次,76,68,温柔|舞台型|演员型|陪伴型|反差型|饭圈互动型,舞台型|清冷|热血|反差型|温柔|陪伴型|实力派|安利型
12848192,A,A,A,D,A,B,A,A,A,D,A,B,A,A,A,AAADABAAADABAAA,visual-01-a|visual-03-a|stage-a|stage-03-d|works-01-a|works-03-b|personality-01-a|personality-03-a|companionship-01-a|companionship-03-d|contrast-01-a|contrast-04-b|spend-01-a|interaction-a|interaction-05-a,檀健次,檀健次,74,66,温柔|舞台型|演员型|陪伴型|反差型|饭圈互动型,舞台型|热血|演员型|温柔|陪伴型|清冷|实力派|作品型
13110400,A,A,A,D,A,C,A,A,A,D,A,C,A,A,A,AAADACAAADACAAA,visual-01-a|visual-03-a|stage-a|stage-03-d|works-01-a|works-03-c|personality-01-a|personality-03-a|companionship-01-a|companionship-03-d|contrast-01-a|contrast-04-c|spend-01-a|interaction-a|interaction-05-a,檀健次,檀健次,71,64,温柔|舞台型|演员型|陪伴型|反差型|饭圈互动型,舞台型|热血|清冷|温柔|陪伴型|搞笑|实力派|综艺型
13372608,A,A,A,D,A,D,A,A,A,D,A,D,A,A,A,AAADADAAADADAAA,visual-01-a|visual-03-a|stage-a|stage-03-d|works-01-a|works-03-d|personality-01-a|personality-03-a|companionship-01-a|companionship-03-d|contrast-01-a|contrast-04-d|spend-01-a|interaction-a|interaction-05-a,檀健次,檀健次,71,64,温柔|舞台型|演员型|陪伴型|反差型|饭圈互动型,舞台型|热血|温柔|陪伴型|清冷|实力派|综艺型|搞笑
13634816,A,A,A,D,B,A,A,A,A,D,B,A,A,A,A,AAADBAAAADBAAAA,visual-01-a|visual-03-a|stage-a|stage-03-d|works-01-b|works-03-a|personality-01-a|personality-03-a|companionship-01-a|companionship-03-d|contrast-01-b|contrast-04-a|spend-01-a|interaction-a|interaction-05-a,winter-金旼炡,Winter 金旼炡,75,65,清冷|实力派|舞台型|反差型|明媚,舞台型|清冷|热血|实力派|温柔|陪伴型|反差型|安利型
13897024,A,A,A,D,B,B,A,A,A,D,B,B,A,A,A,AAADBBAAADBBAAA,visual-01-a|visual-03-a|stage-a|stage-03-d|works-01-b|works-03-b|personality-01-a|personality-03-a|companionship-01-a|companionship-03-d|contrast-01-b|contrast-04-b|spend-01-a|interaction-a|interaction-05-a,檀健次,檀健次,69,63,温柔|舞台型|演员型|陪伴型|反差型|饭圈互动型,舞台型|热血|清冷|实力派|温柔|陪伴型|创作型|线下应援型
14159232,A,A,A,D,B,C,A,A,A,D,B,C,A,A,A,AAADBCAAADBCAAA,visual-01-a|visual-03-a|stage-a|stage-03-d|works-01-b|works-03-c|personality-01-a|personality-03-a|companionship-01-a|companionship-03-d|contrast-01-b|contrast-04-c|spend-01-a|interaction-a|interaction-05-a,winter-金旼炡,Winter 金旼炡,68,60,清冷|实力派|舞台型|反差型|明媚,清冷|舞台型|热血|实力派|温柔|创作型|陪伴型|搞笑
14421440,A,A,A,D,B,D,A,A,A,D,B,D,A,A,A,AAADBDAAADBDAAA,visual-01-a|visual-03-a|stage-a|stage-03-d|works-01-b|works-03-d|personality-01-a|personality-03-a|companionship-01-a|companionship-03-d|contrast-01-b|contrast-04-d|spend-01-a|interaction-a|interaction-05-a,winter-金旼炡,Winter 金旼炡,66,58,清冷|实力派|舞台型|反差型|明媚,舞台型|热血|清冷|实力派|温柔|陪伴型|综艺型|搞笑
14683648,A,A,A,D,C,A,A,A,A,D,C,A,A,A,A,AAADCAAAADCAAAA,visual-01-a|visual-03-a|stage-a|stage-03-d|works-01-c|works-03-a|personality-01-a|personality-03-a|companionship-01-a|companionship-03-d|contrast-01-c|contrast-04-a|spend-01-a|interaction-a|interaction-05-a,winter-金旼炡,Winter 金旼炡,70,61,清冷|实力派|舞台型|反差型|明媚,舞台型|清冷|热血|搞笑|温柔|陪伴型|反差型|实力派
14945856,A,A,A,D,C,B,A,A,A,D,C,B,A,A,A,AAADCBAAADCBAAA,visual-01-a|visual-03-a|stage-a|stage-03-d|works-01-c|works-03-b|personality-01-a|personality-03-a|companionship-01-a|companionship-03-d|contrast-01-c|contrast-04-b|spend-01-a|interaction-a|interaction-05-a,檀健次,檀健次,69,63,温柔|舞台型|演员型|陪伴型|反差型|饭圈互动型,舞台型|热血|搞笑|温柔|陪伴型|清冷|实力派|综艺型
15208064,A,A,A,D,C,C,A,A,A,D,C,C,A,A,A,AAADCCAAADCCAAA,visual-01-a|visual-03-a|stage-a|stage-03-d|works-01-c|works-03-c|personality-01-a|personality-03-a|companionship-01-a|companionship-03-d|contrast-01-c|contrast-04-c|spend-01-a|interaction-a|interaction-05-a,jin-金硕珍,Jin 金硕珍,73,61,温柔|搞笑|实力派|综艺型,搞笑|舞台型|热血|综艺型|清冷|温柔|陪伴型|实力派
15470272,A,A,A,D,C,D,A,A,A,D,C,D,A,A,A,AAADCDAAADCDAAA,visual-01-a|visual-03-a|stage-a|stage-03-d|works-01-c|works-03-d|personality-01-a|personality-03-a|companionship-01-a|companionship-03-d|contrast-01-c|contrast-04-d|spend-01-a|interaction-a|interaction-05-a,beomgyu-崔杋圭,Beomgyu 崔杋圭,73,61,搞笑|养成系|舞台型|综艺型,搞笑|舞台型|热血|综艺型|温柔|陪伴型|清冷|实力派
