question_no,question_id,dimension,question_text,choice_code,option_id,option_label,tags,weights
25,companionship-05,陪伴需求,只能保留一种更新？,B,companionship-05-b,日常直播,陪伴型|饭圈互动型,陪伴型:4|饭圈互动型:3
25,companionship-05,陪伴需求,只能保留一种更新？,C,companionship-05-c,作品幕后,演员型|作品型,演员型:3|作品型:3
25,companionship-05,陪伴需求,只能保留一种更新？,D,companionship-05-d,综艺短视频,综艺型|搞笑,综艺型:4|搞笑:3
26,contrast-01,反差感偏好,你最喜欢哪种反差？,A,contrast-01-a,台上强台下软,反差型|甜酷,反差型:5|甜酷:3
26,contrast-01,反差感偏好,你最喜欢哪种反差？,B,contrast-01-b,冷脸很温柔,反差型|清冷|温柔,反差型:4|清冷:3|温柔:2
26,contrast-01,反差感偏好,你最喜欢哪种反差？,C,contrast-01-c,搞笑又认真,反差型|搞笑|演员型,反差型:4|搞笑:3|演员型:2
26,contrast-01,反差感偏好,你最喜欢哪种反差？,D,contrast-01-d,低调会爆发,反差型|舞台型|实力派,反差型:4|舞台型:3|实力派:2
27,contrast-02,反差感偏好,哪种隐藏面最吸引你？,A,contrast-02-a,默默认真,清冷|实力派,清冷:3|实力派:3
27,contrast-02,反差感偏好,哪种隐藏面最吸引你？,B,contrast-02-b,乖但很敢,甜酷|舞台型,甜酷:4|舞台型:3
27,contrast-02,反差感偏好,哪种隐藏面最吸引你？,C,contrast-02-c,爱玩也靠谱,搞笑|实力派,搞笑:3|实力派:3
27,contrast-02,反差感偏好,哪种隐藏面最吸引你？,D,contrast-02-d,成熟有少年感,明媚|反差型,明媚:3|反差型:3
28,contrast-03,反差感偏好,你喜欢哪种人设？,A,contrast-03-a,真实留白,佛系|清冷,佛系:4|清冷:3
28,contrast-03,反差感偏好,你喜欢哪种人设？,B,contrast-03-b,标签鲜明,甜酷|安利型,甜酷:3|安利型:3
28,contrast-03,反差感偏好,你喜欢哪种人设？,C,contrast-03-c,经常变化,反差型|演员型,反差型:4|演员型:2
28,contrast-03,反差感偏好,你喜欢哪种人设？,D,contrast-03-d,稳定暖心,温柔|陪伴型,温柔:4|陪伴型:3
29,contrast-04,反差感偏好,哪种标题你会点开？,A,contrast-04-a,冷脸其实很软,清冷|反差型,清冷:3|反差型:4
29,contrast-04,反差感偏好,哪种标题你会点开？,B,contrast-04-b,舞台燃醒我,热血|舞台型,热血:4|舞台型:3
29,contrast-04,反差感偏好,哪种标题你会点开？,C,contrast-04-c,综艺感太强,搞笑|综艺型,搞笑:4|综艺型:3
29,contrast-04,反差感偏好,哪种标题你会点开？,D,contrast-04-d,成长线好完整,养成系|热血,养成系:4|热血:2
30,contrast-05,反差感偏好,你希望他最特别的是？,A,contrast-05-a,舞台人格强,反差型|舞台型,反差型:4|舞台型:4
30,contrast-05,反差感偏好,你希望他最特别的是？,B,contrast-05-b,角色差异大,演员型|反差型,演员型:4|反差型:3
30,contrast-05,反差感偏好,你希望他最特别的是？,C,contrast-05-c,温柔又幽默,温柔|搞笑|陪伴型,温柔:3|搞笑:2|陪伴型:3
30,contrast-05,反差感偏好,你希望他最特别的是？,D,contrast-05-d,气质难复制,高级感|清冷,高级感:4|清冷:3
31,spend-01,追星消费倾向,你愿意把钱花在哪？,A,spend-01-a,演唱会见面会,线下应援型|舞台型,线下应援型:5|舞台型:3
31,spend-01,追星消费倾向,你愿意把钱花在哪？,B,spend-01-b,专辑小卡周边,收藏型|消费支持型,收藏型:5|消费支持型:3
31,spend-01,追星消费倾向,你愿意把钱花在哪？,C,spend-01-c,音源作品支持,作品型|消费支持型,作品型:3|消费支持型:4
31,spend-01,追星消费倾向,你愿意把钱花在哪？,D,spend-01-d,少花钱看物料,佛系|陪伴型,佛系:5|陪伴型:2
32,spend-02,追星消费倾向,新周边上线你会？,A,spend-02-a,看设计再买,收藏型|高级感,收藏型:3|高级感:3
32,spend-02,追星消费倾向,新周边上线你会？,B,spend-02-b,能支持就买,消费支持型|实力派,消费支持型:4|实力派:2
32,spend-02,追星消费倾向,新周边上线你会？,C,spend-02-c,只买纪念款,佛系|收藏型,佛系:3|收藏型:2
32,spend-02,追星消费倾向,新周边上线你会？,D,spend-02-d,和同担一起拼,饭圈互动型|消费支持型,饭圈互动型:3|消费支持型:3
33,spend-03,追星消费倾向,你会参与打榜吗？,A,spend-03-a,关键期会冲,数据型|热血,数据型:5|热血:2
33,spend-03,追星消费倾向,你会参与打榜吗？,B,spend-03-b,了解但少做,佛系|数据型,佛系:3|数据型:2
33,spend-03,追星消费倾向,你会参与打榜吗？,C,spend-03-c,主要支持作品,作品型|消费支持型,作品型:3|消费支持型:3
33,spend-03,追星消费倾向,你会参与打榜吗？,D,spend-03-d,主要看线下,线下应援型|舞台型,线下应援型:4|舞台型:3
34,spend-04,追星消费倾向,你适合哪种追星节奏？,A,spend-04-a,活动期冲刺,数据型|饭圈互动型,数据型:3|饭圈互动型:3
34,spend-04,追星消费倾向,你适合哪种追星节奏？,B,spend-04-b,稳定不压力,佛系|陪伴型,佛系:4|陪伴型:3
34,spend-04,追星消费倾向,你适合哪种追星节奏？,C,spend-04-c,巡演时投入,线下应援型|舞台型,线下应援型:4|舞台型:3
34,spend-04,追星消费倾向,你适合哪种追星节奏？,D,spend-04-d,看到好就安利,安利型|作品型,安利型:4|作品型:2
35,spend-05,追星消费倾向,怎样才算值得粉？,A,spend-05-a,作品质量好,作品型|实力派,作品型:4|实力派:3
35,spend-05,追星消费倾向,怎样才算值得粉？,B,spend-05-b,现场很震撼,线下应援型|舞台型,线下应援型:4|舞台型:3
35,spend-05,追星消费倾向,怎样才算值得粉？,C,spend-05-c,饭圈氛围好,饭圈互动型|陪伴型,饭圈互动型:4|陪伴型:3
35,spend-05,追星消费倾向,怎样才算值得粉？,D,spend-05-d,快乐不费力,佛系|搞笑,佛系:4|搞笑:2
36,interaction-01,饭圈互动方式,你在饭圈更像哪种人？,A,interaction-a,主动安利,饭圈互动型|安利型|数据型,饭圈互动型:5|安利型:4|数据型:2
36,interaction-01,饭圈互动方式,你在饭圈更像哪种人？,B,interaction-01-b,潜水收藏,佛系|收藏型,佛系:4|收藏型:3
36,interaction-01,饭圈互动方式,你在饭圈更像哪种人？,C,interaction-01-c,评论接梗,搞笑|饭圈互动型,搞笑:3|饭圈互动型:4
36,interaction-01,饭圈互动方式,你在饭圈更像哪种人？,D,interaction-01-d,线下搭子,线下应援型|陪伴型,线下应援型:4|陪伴型:2
37,interaction-02,饭圈互动方式,你喜欢哪种同担氛围？,A,interaction-02-a,审美一致,安利型|高级感,安利型:3|高级感:3
37,interaction-02,饭圈互动方式,你喜欢哪种同担氛围？,B,interaction-02-b,热血团结,数据型|热血,数据型:4|热血:3
37,interaction-02,饭圈互动方式,你喜欢哪种同担氛围？,C,interaction-02-c,轻松好笑,搞笑|佛系,搞笑:4|佛系:3
37,interaction-02,饭圈互动方式,你喜欢哪种同担氛围？,D,interaction-02-d,温和稳定,温柔|陪伴型,温柔:3|陪伴型:4
38,interaction-03,饭圈互动方式,看到争议时你会？,A,interaction-03-a,先看事实,佛系|清冷,佛系:4|清冷:2
38,interaction-03,饭圈互动方式,看到争议时你会？,B,interaction-03-b,整理信息,安利型|数据型,安利型:3|数据型:3
38,interaction-03,饭圈互动方式,看到争议时你会？,C,interaction-03-c,保持轻松,搞笑|陪伴型,搞笑:3|陪伴型:2
38,interaction-03,饭圈互动方式,看到争议时你会？,D,interaction-03-d,和同担守护,饭圈互动型|热血,饭圈互动型:4|热血:3
39,interaction-04,饭圈互动方式,你想做哪种饭圈产出？,A,interaction-04-a,舞台推荐,舞台型|安利型,舞台型:3|安利型:4
39,interaction-04,饭圈互动方式,你想做哪种饭圈产出？,B,interaction-04-b,角色分析,演员型|作品型|安利型,演员型:3|作品型:3|安利型:2
39,interaction-04,饭圈互动方式,你想做哪种饭圈产出？,C,interaction-04-c,物料整理,养成系|收藏型,养成系:4|收藏型:3
39,interaction-04,饭圈互动方式,你想做哪种饭圈产出？,D,interaction-04-d,表情包切片,搞笑|综艺型,搞笑:4|综艺型:3
40,interaction-05,饭圈互动方式,你想先看哪种入坑材料？,A,interaction-05-a,出圈舞台,舞台型|热血,舞台型:4|热血:2
40,interaction-05,饭圈互动方式,你想先看哪种入坑材料？,B,interaction-05-b,代表作品,作品型|演员型,作品型:4|演员型:2
40,interaction-05,饭圈互动方式,你想先看哪种入坑材料？,C,interaction-05-c,综艺日常,综艺型|搞笑|陪伴型,综艺型:3|搞笑:2|陪伴型:2
40,interaction-05,饭圈互动方式,你想先看哪种入坑材料？,D,interaction-05-d,成长线长文,养成系|安利型,养成系:3|安利型:3
